date;value;unit;name;v_code
01/31/2025;61.0089;1;Австралийский доллар;R01010
02/01/2025;60.8872;1;Австралийский доллар;R01010
02/04/2025;61.1253;1;Австралийский доллар;R01010
02/05/2025;60.9923;1;Австралийский доллар;R01010
02/06/2025;61.2749;1;Австралийский доллар;R01010
02/07/2025;60.6950;1;Австралийский доллар;R01010
02/08/2025;61.1284;1;Австралийский доллар;R01010
01/31/2025;57.6507;1;Азербайджанский манат;R01020A
02/01/2025;57.5357;1;Азербайджанский манат;R01020A
02/04/2025;58.7902;1;Азербайджанский манат;R01020A
02/05/2025;57.9609;1;Азербайджанский манат;R01020A
02/06/2025;57.6798;1;Азербайджанский манат;R01020A
02/07/2025;57.0061;1;Азербайджанский манат;R01020A
02/08/2025;57.2213;1;Азербайджанский манат;R01020A
01/31/2025;121.8609;1;Фунт стерлингов;R01035
02/01/2025;121.9406;1;Фунт стерлингов;R01035
02/04/2025;124.1895;1;Фунт стерлингов;R01035
02/05/2025;122.2999;1;Фунт стерлингов;R01035
02/06/2025;122.3440;1;Фунт стерлингов;R01035
02/07/2025;121.3124;1;Фунт стерлингов;R01035
02/08/2025;120.7587;1;Фунт стерлингов;R01035
01/31/2025;24.6296;100;Армянский драм;R01060
02/01/2025;24.6158;100;Армянский драм;R01060
02/04/2025;25.1753;100;Армянский драм;R01060
02/05/2025;24.8377;100;Армянский драм;R01060
02/06/2025;24.7253;100;Армянский драм;R01060
02/07/2025;24.4211;100;Армянский драм;R01060
02/08/2025;24.5176;100;Армянский драм;R01060
01/31/2025;28.7122;1;Белорусский рубль;R01090
02/01/2025;28.7653;1;Белорусский рубль;R01090
02/04/2025;29.1295;1;Белорусский рубль;R01090
02/05/2025;28.8371;1;Белорусский рубль;R01090
02/06/2025;28.7368;1;Белорусский рубль;R01090
02/07/2025;28.6125;1;Белорусский рубль;R01090
02/08/2025;28.6959;1;Белорусский рубль;R01090
01/31/2025;28.7122;1;Белорусский рубль;R01090B
02/01/2025;28.7653;1;Белорусский рубль;R01090B
02/04/2025;29.1295;1;Белорусский рубль;R01090B
02/05/2025;28.8371;1;Белорусский рубль;R01090B
02/06/2025;28.7368;1;Белорусский рубль;R01090B
02/07/2025;28.6125;1;Белорусский рубль;R01090B
02/08/2025;28.6959;1;Белорусский рубль;R01090B
01/31/2025;52.0941;1;Болгарский лев;R01100
02/01/2025;52.0253;1;Болгарский лев;R01100
02/04/2025;53.1085;1;Болгарский лев;R01100
02/05/2025;51.7598;1;Болгарский лев;R01100
02/06/2025;51.8147;1;Болгарский лев;R01100
02/07/2025;51.6404;1;Болгарский лев;R01100
02/08/2025;51.5270;1;Болгарский лев;R01100
01/31/2025;16.7266;1;Бразильский реал;R01115
02/01/2025;16.5772;1;Бразильский реал;R01115
02/04/2025;17.1435;1;Бразильский реал;R01115
02/05/2025;16.7905;1;Бразильский реал;R01115
02/06/2025;16.9283;1;Бразильский реал;R01115
02/07/2025;16.7104;1;Бразильский реал;R01115
02/08/2025;16.8144;1;Бразильский реал;R01115
01/31/2025;25.0373;100;Форинт;R01135
02/01/2025;24.8990;100;Форинт;R01135
02/04/2025;24.9821;100;Форинт;R01135
02/05/2025;24.9654;100;Форинт;R01135
02/06/2025;25.1116;100;Форинт;R01135
02/07/2025;24.6648;100;Форинт;R01135
02/08/2025;24.9843;100;Форинт;R01135
01/31/2025;40.2903;10000;Донг;R01150
02/01/2025;40.2099;10000;Донг;R01150
02/04/2025;41.0867;10000;Донг;R01150
02/05/2025;40.4489;10000;Донг;R01150
02/06/2025;40.1950;10000;Донг;R01150
02/07/2025;39.6767;10000;Донг;R01150
02/08/2025;39.7662;10000;Донг;R01150
01/31/2025;12.6021;1;Гонконгский доллар;R01200
02/01/2025;12.5737;1;Гонконгский доллар;R01200
02/04/2025;12.8454;1;Гонконгский доллар;R01200
02/05/2025;12.6748;1;Гонконгский доллар;R01200
02/06/2025;12.6141;1;Гонконгский доллар;R01200
02/07/2025;12.4692;1;Гонконгский доллар;R01200
02/08/2025;12.5114;1;Гонконгский доллар;R01200
01/31/2025;34.0488;1;Лари;R01210
02/01/2025;34.0081;1;Лари;R01210
02/04/2025;34.9905;1;Лари;R01210
02/05/2025;34.6913;1;Лари;R01210
02/06/2025;34.5534;1;Лари;R01210
02/07/2025;34.3362;1;Лари;R01210
02/08/2025;34.6240;1;Лари;R01210
01/31/2025;13.6529;1;Датская крона;R01215
02/01/2025;13.6369;1;Датская крона;R01215
02/04/2025;13.9205;1;Датская крона;R01215
02/05/2025;13.5669;1;Датская крона;R01215
02/06/2025;13.5826;1;Датская крона;R01215
02/07/2025;13.5395;1;Датская крона;R01215
02/08/2025;13.5098;1;Датская крона;R01215
01/31/2025;26.6865;1;Дирхам ОАЭ;R01230
02/01/2025;26.6333;1;Дирхам ОАЭ;R01230
02/04/2025;27.2140;1;Дирхам ОАЭ;R01230
02/05/2025;26.8301;1;Дирхам ОАЭ;R01230
02/06/2025;26.7000;1;Дирхам ОАЭ;R01230
02/07/2025;26.3881;1;Дирхам ОАЭ;R01230
02/08/2025;26.4877;1;Дирхам ОАЭ;R01230
01/31/2025;98.0062;1;Доллар США;R01235
02/01/2025;97.8107;1;Доллар США;R01235
02/04/2025;99.9433;1;Доллар США;R01235
02/05/2025;98.5336;1;Доллар США;R01235
02/06/2025;98.0556;1;Доллар США;R01235
02/07/2025;96.9104;1;Доллар США;R01235
02/08/2025;97.2762;1;Доллар США;R01235
01/31/2025;102.7782;1;Евро;R01239
02/01/2025;102.1301;1;Евро;R01239
02/04/2025;102.4910;1;Евро;R01239
02/05/2025;102.6852;1;Евро;R01239
02/06/2025;102.9215;1;Евро;R01239
02/07/2025;100.6751;1;Евро;R01239
02/08/2025;101.2243;1;Евро;R01239
01/31/2025;19.5093;10;Египетский фунт;R01240
02/01/2025;19.4691;10;Египетский фунт;R01240
02/04/2025;19.8513;10;Египетский фунт;R01240
02/05/2025;19.5858;10;Египетский фунт;R01240
02/06/2025;19.4867;10;Египетский фунт;R01240
02/07/2025;19.2665;10;Египетский фунт;R01240
02/08/2025;19.3392;10;Египетский фунт;R01240
01/31/2025;11.3192;10;Индийская рупия;R01270
02/01/2025;11.2891;10;Индийская рупия;R01270
02/04/2025;11.4724;10;Индийская рупия;R01270
02/05/2025;11.3100;10;Индийская рупия;R01270
02/06/2025;11.2419;10;Индийская рупия;R01270
02/07/2025;11.0677;10;Индийская рупия;R01270
02/08/2025;11.1201;10;Индийская рупия;R01270
01/31/2025;60.4977;10000;Рупия;R01280
02/01/2025;60.1579;10000;Рупия;R01280
02/04/2025;61.2698;10000;Рупия;R01280
02/05/2025;59.8879;10000;Рупия;R01280
02/06/2025;59.9179;10000;Рупия;R01280
02/07/2025;59.4251;10000;Рупия;R01280
02/08/2025;59.5690;10000;Рупия;R01280
01/31/2025;18.9622;100;Тенге;R01335
02/01/2025;18.8358;100;Тенге;R01335
02/04/2025;19.2889;100;Тенге;R01335
02/05/2025;18.8906;100;Тенге;R01335
02/06/2025;18.8471;100;Тенге;R01335
02/07/2025;18.7822;100;Тенге;R01335
02/08/2025;18.8772;100;Тенге;R01335
01/31/2025;67.8948;1;Канадский доллар;R01350
02/01/2025;67.8581;1;Канадский доллар;R01350
02/04/2025;69.0026;1;Канадский доллар;R01350
02/05/2025;67.4749;1;Канадский доллар;R01350
02/06/2025;68.3552;1;Канадский доллар;R01350
02/07/2025;67.7932;1;Канадский доллар;R01350
02/08/2025;67.9208;1;Канадский доллар;R01350
01/31/2025;26.9248;1;Катарский риал;R01355
02/01/2025;26.8711;1;Катарский риал;R01355
